id,root,affix,info,pos,tense,person,possession,cases,verb_voice1,verb_voice2,verb_voice3,verb_func,impulsion,degree,copula,singular,plural,question,negative,polite,lexical_affixes,syntactical_affixes
1386,almash/yoz/kamay/uzay/ishla,(t)Tirilibdimi,"",VERB,,,,,Causative,Passive,,Adverbial,,,,,,1,,,(t)Tir (i)l (i)b mi,di
1392,almash/yoz/kamay/uzay/ishla,(t)Tirilish,"",VERB,,,,,Causative,Passive,,Infinitive,,,,1,,,,,(t)Tir (i)l (i)sh,
1391,almash/yoz/kamay/uzay/ishla,(t)Tirilishi,"",VERB,,,,,Causative,Passive,,Infinitive,,,,1,,,,,(t)Tir (i)l (i)sh,i
1394,almash/yoz/kamay/uzay/ishla,(t)Tirilishida,"",VERB,,,,Locative,Causative,Passive,,Infinitive,,,,1,,,,,(t)Tir (i)l (i)sh,i da
1393,almash/yoz/kamay/uzay/ishla,(t)Tirilishidan,"",VERB,,,,Ablative,Causative,Passive,,Infinitive,,,,1,,,,,(t)Tir (i)l (i)sh,i dan
1395,almash/yoz/kamay/uzay/ishla,(t)Tirilishini,"",VERB,,,,Accusative,Causative,Passive,,Infinitive,,,,1,,,,,(t)Tir (i)l (i)sh,i ni
1324,almash/yoz/kamay/uzay/ishla,(t)Tirish,"",VERB,,,,,Causative,,,Infinitive,,,,1,,,,,(t)Tir (i)sh,
1357,almash/yoz/kamay/uzay/ishla,(t)Tirishdan,"",VERB,,,,Ablative,Causative,,,Infinitive,,,,1,,,,,(t)Tir (i)sh,dan
1327,almash/yoz/kamay/uzay/ishla,(t)Tirishdi,"",VERB,Past,3,,,Causative,,,Finite,Message,,,1,,,,,(t)Tir (i)sh,di
1361,almash/yoz/kamay/uzay/ishla,(t)Tirishdik,"",VERB,,,,,,,,,,,,,,,,,(t)Tir (i)sh,di k
1328,almash/yoz/kamay/uzay/ishla,(t)Tirishdimi,"",VERB,Past,3,,,Causative,,,Finite,,,,,,1,,,(t)Tir (i)sh mi,di
1364,almash/yoz/kamay/uzay/ishla,(t)Tirishdingiz,"",VERB,,,,,,,,,,,,,,,,,(t)Tir (i)sh,di ngiz
1367,almash/yoz/kamay/uzay/ishla,(t)Tirishdingizmi,"",VERB,,,,,,,,,,,,,,1,,,(t)Tir (i)sh mi,di ngiz
1366,almash/yoz/kamay/uzay/ishla,(t)Tirishdingmi,"",VERB,,,,,,,,,,,,,,1,,,(t)Tir (i)sh mi,di ng
1355,almash/yoz/kamay/uzay/ishla,(t)Tirishga,"",VERB,,,,,Causative,,,Infinitive,,,,1,,,,,(t)Tir (i)sh,ga
1326,almash/yoz/kamay/uzay/ishla,(t)Tirishgan,"",VERB,Past,3,,,Causative,,,Participle,,,,1,,,,,(t)Tir (i)sh Gan,
1353,almash/yoz/kamay/uzay/ishla,(t)Tirishgandi,"",VERB,Past,,,,,,,,Message,,,,,,,,(t)Tir (i)sh Gan,di
1369,almash/yoz/kamay/uzay/ishla,(t)Tirishgani,"",VERB,,,,,,,,,,,,,,,,,(t)Tir (i)sh Gan,i
1371,almash/yoz/kamay/uzay/ishla,(t)Tirishganida,"",VERB,,,,,,,,,,,,,,,,,(t)Tir (i)sh Gan,i da
1370,almash/yoz/kamay/uzay/ishla,(t)Tirishganidan,"",VERB,,,,,,,,,,,,,,,,,(t)Tir (i)sh Gan,i dan
1329,almash/yoz/kamay/uzay/ishla,(t)Tirishganmi,"",VERB,Past,3,,,Causative,,,Participle,,,,,,1,,,(t)Tir (i)sh Gan mi,
1368,almash/yoz/kamay/uzay/ishla,(t)Tirishganmidi,"",VERB,,,,,,,,,Message,,,,,1,,,(t)Tir (i)sh Gan mi,di
1794,almash/yoz/kamay/uzay/ishla,(t)Tirishi,"",VERB,Future,,,,,,,,,,,,,,,,(t)Tir ish,i
1372,almash/yoz/kamay/uzay/ishla,(t)Tirishib,"",VERB,,,,,Causative,,,Adverbial,,,,,,,,,(t)Tir (i)sh (i)b,
1358,almash/yoz/kamay/uzay/ishla,(t)Tirishim,"",VERB,Future,,,,,,,,,,,,,,,,(t)Tir (i)sh,im
1359,almash/yoz/kamay/uzay/ishla,(t)Tirishing,"",VERB,Future,,,,,,,,,,,,,,,,(t)Tir (i)sh,ing
1360,almash/yoz/kamay/uzay/ishla,(t)Tirishingiz,"",VERB,Future,,,,,,,,,,,,,,,,(t)Tir (i)sh,ingiz
1356,almash/yoz/kamay/uzay/ishla,(t)Tirishni,"",VERB,,,,Accusative,Causative,,,Infinitive,,,,1,,,,,(t)Tir (i)sh,ni
593,ayt/qil/ishla,(t)Tirmadi,"",VERB,Past,3,,,Causative,,,Finite,Message,,,,,,1,,(t)Tir ma,di
594,ayt/qil/ishla,(t)Tirmadik,"",VERB,Past,1,,,Causative,,,Finite,,,,,,,,,(t)Tir ma,di k
595,ayt/qil/ishla,(t)Tirmading,"",VERB,Past,,,,Causative,,,Finite,,,,,,,1,,(t)Tir ma,di ng
596,ayt/qil/ishla,(t)Tirmadingiz,"",VERB,Past,,,,Causative,,,Finite,,,,,,,1,,(t)Tir ma,di ngiz
597,ayt/qil/ishla,(t)Tirmagan,"",VERB,Past,3,,,,,,,,,,,,,1,,(t)Tir ma Gan,
598,ayt/qil/ishla,(t)Tirmagandi,"",VERB,Past,3,,,,,,,Message,,,,,,1,,(t)Tir ma Gan,di
601,ayt/qil/ishla,(t)Tirmagandik,"",VERB,Past,1,,,,,,,,,,,,,1,,(t)Tir ma Gan,di k
602,ayt/qil/ishla,(t)Tirmagandim,"",VERB,Past,1,,,,,,,,,,,,,1,,(t)Tir ma Gan,di m
599,ayt/qil/ishla,(t)Tirmaganding,"",VERB,Past,2,,,,,,,,,,,,,1,,(t)Tir ma Gan,di ng
600,ayt/qil/ishla,(t)Tirmagandingiz,"",VERB,Past,2,,,,,,,,,,,,,1,,(t)Tir ma Gan,di ngiz
631,ayt/qil/ishla,(t)Tirmoq,"(t) qushilgan ustunlik T->tir shaklida qushiladi",VERB,,,,,Causative,,,Infinitive,,,,1,,,,,(t)Tir moq,
1574,almash/yoz/kamay/uzay/ishla,(t)Tirmoqda,"",VERB,Present,,,,,,,,,,,,,,,,(t)Tir moqda,
1787,almash/yoz/kamay/uzay/ishla,(t)Tirsa,"",VERB,Future,3,,,,,,,Imperative,,,,,,,,(t)Tir,sa
1790,almash/yoz/kamay/uzay/ishla,(t)Tirsam,"",VERB,Future,1,,,,,,,,,,,,,,,(t)Tir,sa m
1791,almash/yoz/kamay/uzay/ishla,(t)Tirsammi,"",VERB,Future,1,,,Active,,,Finite,Conditional,,,1,,,,,,
1788,almash/yoz/kamay/uzay/ishla,(t)Tirsang,"",VERB,,,,,,,,,,,,,,,,,(t)Tir,sa ng
1789,almash/yoz/kamay/uzay/ishla,(t)Tirsangiz,"",VERB,,,,,,,,,,,,,,,,,(t)Tir,sa ngiz
1572,almash/yoz/kamay/uzay/ishla,(t)Tiruvchi,"",VERB,Future,3,,,Causative,,,Participle,,,,1,,,,,(t)Tir uvchi,
